Year,MF,OF,MNU,ONU,MF_Smoothed,OF_Smoothed,MNU_Smoothed,ONU_Smoothed
202202,4,5,1,3,4.0,5.0,1.0,3.0
202203,0,0,0,1,0.0,0.0,0.0,1.0
202204,3,5,1,4,3.0,5.0,1.0,4.0
202205,3,2,0,3,3.0,2.0,0.0,3.0
202206,0,4,0,3,0.0,4.0,0.0,3.0
202207,3,7,1,7,3.0,5.5,1.0,5.0
202208,0,2,0,2,0.0,2.0,0.0,2.0
202209,1,0,0,0,1.0,0.0,0.0,0.0
202210,1,1,0,2,1.0,1.0,0.0,2.0
202211,3,1,2,1,3.0,1.0,1.0,1.0
202212,1,1,0,2,1.0,1.0,0.0,2.0
202301,0,3,0,4,0.0,3.0,0.0,4.0
202302,1,0,0,1,1.0,0.0,0.0,1.0
202303,1,1,0,1,1.0,1.0,0.0,1.0
202304,2,0,0,1,2.0,0.0,0.0,1.0
202305,1,0,0,1,1.0,0.0,0.0,1.0
202306,0,1,0,1,0.0,1.0,0.0,1.0
202307,5,1,1,0,5.0,1.0,1.0,0.0
202308,1,0,0,0,1.0,0.0,0.0,0.0
202309,0,0,0,0,0.0,0.0,0.0,0.0
202310,0,0,0,0,0.0,0.0,0.0,0.0
202311,0,0,0,0,0.0,0.0,0.0,0.0
202312,0,0,0,1,0.0,0.0,0.0,1.0
202401,3,0,0,0,3.0,0.0,0.0,0.0
